"BehaviorSpace results (NetLogo 7.0.4),""Table version 2.0"""
Virus.nlogox
experimento_evolutivo
05/26/2026 18:57:23:470 -0500
"min-pxcor,""max-pxcor"",""min-pycor"",""max-pycor"""
"11,""20"",""44"",""2"""
"9,""10"",""68"",""1"""
"13,""20"",""35"",""2"""
"12,""20"",""40"",""3"""
"11,""20"",""45"",""2"""
"12,""20"",""41"",""3"""
"9,""10"",""69"",""0"""
"13,""20"",""36"",""2"""
"11,""20"",""46"",""2"""
"12,""20"",""42"",""3"""
"13,""20"",""37"",""0"""
"12,""20"",""43"",""3"""
"15,""20"",""0"",""10"""
"11,""20"",""47"",""2"""
"12,""20"",""44"",""3"""
"15,""20"",""1"",""11"""
"11,""20"",""48"",""2"""
"12,""20"",""45"",""3"""
"16,""20"",""0"",""10"""
"15,""20"",""2"",""11"""
"14,""20"",""36"",""1"""
"12,""20"",""46"",""3"""
"11,""20"",""49"",""2"""
"16,""20"",""1"",""10"""
"15,""20"",""3"",""11"""
"14,""20"",""37"",""0"""
"16,""20"",""2"",""10"""
"15,""20"",""4"",""11"""
"16,""20"",""3"",""11"""
"15,""20"",""5"",""11"""
"12,""20"",""47"",""3"""
"11,""20"",""50"",""2"""
"16,""20"",""4"",""11"""
"15,""20"",""6"",""12"""
"17,""20"",""0"",""10"""
"16,""20"",""5"",""11"""
"12,""20"",""48"",""3"""
"11,""20"",""51"",""2"""
"15,""20"",""7"",""12"""
"16,""20"",""6"",""11"""
"15,""20"",""8"",""12"""
"17,""20"",""1"",""10"""
"12,""20"",""49"",""3"""
"16,""20"",""7"",""11"""
"15,""20"",""9"",""12"""
"17,""20"",""2"",""10"""
"16,""20"",""8"",""11"""
"11,""20"",""52"",""2"""
"12,""20"",""50"",""3"""
"15,""20"",""10"",""12"""
"16,""20"",""9"",""12"""
"17,""20"",""3"",""10"""
"15,""20"",""11"",""12"""
"11,""20"",""53"",""2"""
"17,""20"",""4"",""10"""
"16,""20"",""10"",""12"""
"15,""20"",""12"",""12"""
"12,""20"",""51"",""3"""
"17,""20"",""5"",""11"""
"16,""20"",""11"",""12"""
"15,""20"",""13"",""12"""
"11,""20"",""54"",""2"""
"17,""20"",""6"",""11"""
"16,""20"",""12"",""13"""
"15,""20"",""14"",""12"""
"12,""20"",""52"",""3"""
"16,""20"",""13"",""13"""
"17,""20"",""7"",""11"""
"15,""20"",""15"",""12"""
"17,""20"",""8"",""11"""
"16,""20"",""14"",""14"""
"15,""20"",""16"",""12"""
"17,""20"",""9"",""12"""
"16,""20"",""15"",""14"""
"12,""20"",""53"",""3"""
"15,""20"",""17"",""12"""
"17,""20"",""10"",""12"""
"12,""20"",""54"",""3"""
"17,""20"",""11"",""12"""
"11,""20"",""55"",""2"""
"16,""20"",""16"",""14"""
"15,""20"",""18"",""14"""
"1,""10"",""6"",""10"""
"12,""20"",""55"",""2"""
"11,""20"",""56"",""2"""
"17,""20"",""12"",""12"""
"16,""20"",""17"",""14"""
"15,""20"",""19"",""14"""
"12,""20"",""56"",""2"""
"17,""20"",""13"",""12"""
"11,""20"",""57"",""2"""
"17,""20"",""14"",""12"""
"17,""20"",""15"",""12"""
"15,""20"",""20"",""14"""
"12,""20"",""57"",""1"""
"11,""20"",""58"",""2"""
"17,""20"",""16"",""13"""
"15,""20"",""21"",""3"""
"17,""20"",""17"",""14"""
"16,""20"",""18"",""14"""
"12,""20"",""58"",""1"""
"17,""20"",""18"",""14"""
"11,""20"",""59"",""2"""
"15,""20"",""22"",""3"""
"16,""20"",""19"",""14"""
"17,""20"",""19"",""16"""
"17,""20"",""20"",""16"""
"12,""20"",""59"",""1"""
"11,""20"",""60"",""2"""
"15,""20"",""23"",""4"""
"11,""20"",""61"",""2"""
"12,""20"",""60"",""1"""
"15,""20"",""24"",""4"""
"16,""20"",""20"",""14"""
"17,""20"",""21"",""6"""
"11,""20"",""62"",""0"""
"12,""20"",""61"",""1"""
"15,""20"",""25"",""4"""
"16,""20"",""21"",""5"""
"17,""20"",""22"",""6"""
"17,""20"",""23"",""6"""
"15,""20"",""26"",""3"""
"16,""20"",""22"",""5"""
"17,""20"",""24"",""6"""
"12,""20"",""62"",""2"""
"18,""20"",""0"",""10"""
"15,""20"",""27"",""4"""
"16,""20"",""23"",""5"""
"15,""20"",""28"",""5"""
"17,""20"",""25"",""5"""
"12,""20"",""63"",""2"""
"1,""10"",""7"",""10"""
"18,""20"",""1"",""10"""
"17,""20"",""26"",""5"""
"15,""20"",""29"",""5"""
"12,""20"",""64"",""2"""
"16,""20"",""24"",""4"""
"17,""20"",""27"",""6"""
"18,""20"",""2"",""10"""
"17,""20"",""28"",""6"""
"12,""20"",""65"",""2"""
"15,""20"",""30"",""5"""
"17,""20"",""29"",""5"""
"18,""20"",""3"",""11"""
"17,""20"",""30"",""5"""
"12,""20"",""66"",""1"""
"15,""20"",""31"",""5"""
"17,""20"",""31"",""5"""
"18,""20"",""4"",""11"""
"17,""20"",""32"",""5"""
"16,""20"",""25"",""4"""
"15,""20"",""32"",""7"""
"16,""20"",""26"",""4"""
"12,""20"",""67"",""1"""
"18,""20"",""5"",""11"""
"17,""20"",""33"",""5"""
"17,""20"",""34"",""5"""
"18,""20"",""6"",""11"""
"12,""20"",""68"",""1"""
"17,""20"",""35"",""5"""
"16,""20"",""27"",""4"""
"15,""20"",""33"",""7"""
"16,""20"",""28"",""4"""
"18,""20"",""7"",""11"""
"17,""20"",""36"",""5"""
"15,""20"",""34"",""7"""
"12,""20"",""69"",""1"""
"16,""20"",""29"",""4"""
"18,""20"",""8"",""12"""
"17,""20"",""37"",""4"""
"12,""20"",""70"",""1"""
"15,""20"",""35"",""8"""
"17,""20"",""38"",""3"""
"16,""20"",""30"",""3"""
"18,""20"",""9"",""13"""
"12,""20"",""71"",""1"""
"18,""20"",""10"",""13"""
"16,""20"",""31"",""3"""
"12,""20"",""72"",""1"""
"18,""20"",""11"",""14"""
"15,""20"",""36"",""8"""
"18,""20"",""12"",""14"""
"12,""20"",""73"",""1"""
"16,""20"",""32"",""3"""
"15,""20"",""37"",""8"""
"18,""20"",""13"",""14"""
"17,""20"",""39"",""3"""
"12,""20"",""74"",""1"""
"16,""20"",""33"",""2"""
"15,""20"",""38"",""8"""
"18,""20"",""14"",""15"""
"17,""20"",""40"",""1"""
"16,""20"",""34"",""1"""
"15,""20"",""39"",""7"""
"17,""20"",""41"",""1"""
"12,""20"",""75"",""1"""
"16,""20"",""35"",""1"""
"18,""20"",""15"",""15"""
"15,""20"",""40"",""8"""
"17,""20"",""42"",""1"""
"15,""20"",""41"",""8"""
"12,""20"",""76"",""1"""
"17,""20"",""43"",""1"""
"18,""20"",""16"",""15"""
"16,""20"",""36"",""1"""
"15,""20"",""42"",""8"""
"16,""20"",""37"",""1"""
"15,""20"",""43"",""8"""
"18,""20"",""17"",""15"""
"12,""20"",""77"",""1"""
"17,""20"",""44"",""1"""
"16,""20"",""38"",""1"""
"15,""20"",""44"",""7"""
"17,""20"",""45"",""1"""
"16,""20"",""39"",""1"""
"12,""20"",""78"",""1"""
"18,""20"",""18"",""15"""
"15,""20"",""45"",""7"""
"16,""20"",""40"",""1"""
"17,""20"",""46"",""1"""
"12,""20"",""79"",""1"""
"18,""20"",""19"",""15"""
"16,""20"",""41"",""1"""
"15,""20"",""46"",""8"""
"17,""20"",""47"",""0"""
"16,""20"",""42"",""0"""
"18,""20"",""20"",""15"""
"12,""20"",""80"",""1"""
"15,""20"",""47"",""7"""
"1,""10"",""8"",""10"""
"19,""20"",""0"",""10"""
"15,""20"",""48"",""7"""
"15,""20"",""49"",""6"""
"19,""20"",""1"",""10"""
"18,""20"",""21"",""5"""
"19,""20"",""2"",""10"""
"20,""20"",""0"",""10"""
"18,""20"",""22"",""5"""
"12,""20"",""81"",""1"""
"19,""20"",""3"",""10"""
"15,""20"",""50"",""6"""
"19,""20"",""4"",""10"""
"18,""20"",""23"",""5"""
"19,""20"",""5"",""10"""
"12,""20"",""82"",""1"""
"20,""20"",""1"",""10"""
"15,""20"",""51"",""6"""
"18,""20"",""24"",""4"""
"19,""20"",""6"",""10"""
"15,""20"",""52"",""4"""
"12,""20"",""83"",""0"""
"20,""20"",""2"",""10"""
"18,""20"",""25"",""4"""
"19,""20"",""7"",""10"""
"15,""20"",""53"",""4"""
"20,""20"",""3"",""13"""
"19,""20"",""8"",""10"""
"15,""20"",""54"",""4"""
"20,""20"",""4"",""13"""
"19,""20"",""9"",""10"""
"21,""30"",""0"",""10"""
"18,""20"",""26"",""5"""
"20,""20"",""5"",""13"""
"21,""30"",""1"",""10"""
"19,""20"",""10"",""10"""
"15,""20"",""55"",""3"""
"20,""20"",""6"",""13"""
"21,""30"",""2"",""10"""
"15,""20"",""56"",""3"""
"18,""20"",""27"",""5"""
"19,""20"",""11"",""10"""
"20,""20"",""7"",""13"""
"19,""20"",""12"",""10"""
"15,""20"",""57"",""3"""
"21,""30"",""3"",""10"""
"20,""20"",""8"",""13"""
"18,""20"",""28"",""5"""
"19,""20"",""13"",""10"""
"21,""30"",""4"",""10"""
"20,""20"",""9"",""13"""
"15,""20"",""58"",""3"""
"18,""20"",""29"",""3"""
"19,""20"",""14"",""10"""
"21,""30"",""5"",""10"""
"19,""20"",""15"",""10"""
"15,""20"",""59"",""2"""
"21,""30"",""6"",""11"""
"19,""20"",""16"",""10"""
"18,""20"",""30"",""3"""
"20,""20"",""10"",""13"""
"19,""20"",""17"",""10"""
"21,""30"",""7"",""11"""
"18,""20"",""31"",""4"""
"15,""20"",""60"",""2"""
"20,""20"",""11"",""13"""
"19,""20"",""18"",""10"""
"20,""20"",""12"",""13"""
"15,""20"",""61"",""1"""
"19,""20"",""19"",""10"""
"21,""30"",""8"",""11"""
"18,""20"",""32"",""3"""
"19,""20"",""20"",""11"""
"20,""20"",""13"",""13"""
"15,""20"",""62"",""1"""
"21,""30"",""9"",""12"""
"19,""20"",""21"",""3"""
"18,""20"",""33"",""3"""
"20,""20"",""14"",""14"""
"15,""20"",""63"",""1"""
"21,""30"",""10"",""12"""
"19,""20"",""22"",""3"""
"20,""20"",""15"",""14"""
"18,""20"",""34"",""3"""
"19,""20"",""23"",""3"""
"15,""20"",""64"",""1"""
"20,""20"",""16"",""14"""
"21,""30"",""11"",""12"""
"19,""20"",""24"",""3"""
"19,""20"",""25"",""3"""
"20,""20"",""17"",""14"""
"15,""20"",""65"",""1"""
"18,""20"",""35"",""2"""
"21,""30"",""12"",""12"""
"19,""20"",""26"",""3"""
"20,""20"",""18"",""15"""
"15,""20"",""66"",""0"""
"18,""20"",""36"",""2"""
"19,""20"",""27"",""3"""
"21,""30"",""13"",""12"""
"20,""20"",""19"",""16"""
"18,""20"",""37"",""2"""
"19,""20"",""28"",""3"""
"20,""20"",""20"",""17"""
"22,""30"",""0"",""10"""
"21,""30"",""14"",""12"""
"19,""20"",""29"",""3"""
"20,""20"",""21"",""7"""
"18,""20"",""38"",""2"""
"22,""30"",""1"",""11"""
"21,""30"",""15"",""13"""
"20,""20"",""22"",""7"""
"22,""30"",""2"",""11"""
"18,""20"",""39"",""2"""
"21,""30"",""16"",""14"""
"22,""30"",""3"",""11"""
"21,""30"",""17"",""15"""
"20,""20"",""23"",""5"""
"18,""20"",""40"",""2"""
"22,""30"",""4"",""12"""
"21,""30"",""18"",""15"""
"18,""20"",""41"",""2"""
"20,""20"",""24"",""4"""
"22,""30"",""5"",""12"""
"20,""20"",""25"",""5"""
"18,""20"",""42"",""2"""
"21,""30"",""19"",""15"""
